,Open,High,Low,Close,Volume,sma_50,sma_100,sma_200,aroon_up,aroon_down,aroon_osc,obv,obv_sma_20,vol_ma_50,fib_236,fib_382,fib_500,fib_618,fib_786,swing_high,swing_low,golden_cross,death_cross,vol_ok,gc_base_index,gc_confirmed,gc_chosen_index,_ticker
2023-03-16,150.27299535550645,154.5196720318581,149.7594399024329,153.917236328125,76161100.0,143.4958009338379,142.08608360290526,145.43420852661131,100.0,60.0,40.0,-298880600.0,-554018955.0,68840322.0,151.2353135843727,145.73314619444267,141.28618898888274,136.83923178332284,130.50797067710195,160.12922799549253,122.44314998227297,False,False,True,305,True,305,AAPL
2023-03-17,154.1443976469308,154.79621636647911,152.36671707978053,153.07778930664062,98944600.0,144.0653025817871,142.16704750061035,145.46797874450684,100.0,56.0,44.0,-397825200.0,-546189970.0,69036942.0,151.2353135843727,145.73314619444267,141.28618898888274,136.83923178332284,130.50797067710195,160.12922799549253,122.44314998227297,False,False,True,305,True,305,AAPL
2023-03-20,153.14693686632677,155.86283327756414,152.23833280571804,155.44802856445312,73641400.0,144.70863647460936,142.25025245666504,145.51423919677734,100.0,52.0,48.0,-324183800.0,-531721710.0,68890516.0,151.2353135843727,145.73314619444267,141.28618898888274,136.83923178332284,130.50797067710195,160.12922799549253,122.44314998227297,False,False,True,305,True,305,AAPL
2023-03-21,155.36901795458434,157.42320976774403,154.59867718770118,157.30470275878906,73938300.0,145.29838317871094,142.3235733795166,145.55749404907226,100.0,48.0,52.0,-250245500.0,-510613175.0,68614188.0,151.2353135843727,145.73314619444267,141.28618898888274,136.83923178332284,130.50797067710195,160.12922799549253,122.44314998227297,False,False,True,305,True,305,AAPL
2023-03-22,157.32445173541882,160.12922799549253,155.85292447362312,155.8726806640625,75701800.0,145.8490365600586,142.4120092010498,145.62224617004395,100.0,44.0,56.0,-325947300.0,-495840295.0,68712408.0,151.2353135843727,145.73314619444267,141.28618898888274,136.83923178332284,130.50797067710195,160.12922799549253,122.44314998227297,True,False,True,305,True,305,AAPL
2023-03-23,156.86029458739586,159.54656410725272,155.72454710395584,156.95904541015625,67622100.0,146.4099786376953,142.55610206604004,145.6886944580078,96.0,40.0,56.0,-258325200.0,-480106020.0,68786926.0,151.2353135843727,145.73314619444267,141.28618898888274,136.83923178332284,130.50797067710195,160.12922799549253,122.44314998227297,False,False,True,305,True,305,AAPL
2023-03-24,156.88988831142535,158.35152977877317,155.89241931505222,158.2626495361328,59196500.0,146.94256072998047,142.60553092956542,145.74902801513673,92.0,36.0,56.0,-199128700.0,-458638440.0,68581678.0,151.2353135843727,145.73314619444267,141.28618898888274,136.83923178332284,130.50797067710195,160.12922799549253,122.44314998227297,False,False,False,305,True,305,AAPL
2023-03-15,149.31503194180715,151.34948260848185,148.06077752387876,151.09271240234375,77167900.0,142.8840689086914,141.95852821350098,145.40017349243163,28.0,64.0,-36.0,-375041700.0,-563386775.0,69559450.0,151.2353135843727,145.73314619444267,141.28618898888274,136.83923178332284,130.50797067710195,160.12922799549253,122.44314998227297,False,False,True,305,True,305,AAPL
2023-03-16,150.27299535550645,154.5196720318581,149.7594399024329,153.917236328125,76161100.0,143.4958009338379,142.08608360290526,145.43420852661131,100.0,60.0,40.0,-298880600.0,-554018955.0,68840322.0,151.2353135843727,145.73314619444267,141.28618898888274,136.83923178332284,130.50797067710195,160.12922799549253,122.44314998227297,False,False,True,305,True,305,AAPL
2023-03-17,154.1443976469308,154.79621636647911,152.36671707978053,153.07778930664062,98944600.0,144.0653025817871,142.16704750061035,145.46797874450684,100.0,56.0,44.0,-397825200.0,-546189970.0,69036942.0,151.2353135843727,145.73314619444267,141.28618898888274,136.83923178332284,130.50797067710195,160.12922799549253,122.44314998227297,False,False,True,305,True,305,AAPL
2023-03-20,153.14693686632677,155.86283327756414,152.23833280571804,155.44802856445312,73641400.0,144.70863647460936,142.25025245666504,145.51423919677734,100.0,52.0,48.0,-324183800.0,-531721710.0,68890516.0,151.2353135843727,145.73314619444267,141.28618898888274,136.83923178332284,130.50797067710195,160.12922799549253,122.44314998227297,False,False,True,305,True,305,AAPL
2023-03-21,155.36901795458434,157.42320976774403,154.59867718770118,157.30470275878906,73938300.0,145.29838317871094,142.3235733795166,145.55749404907226,100.0,48.0,52.0,-250245500.0,-510613175.0,68614188.0,151.2353135843727,145.73314619444267,141.28618898888274,136.83923178332284,130.50797067710195,160.12922799549253,122.44314998227297,False,False,True,305,True,305,AAPL
2023-03-22,157.32445173541882,160.12922799549253,155.85292447362312,155.8726806640625,75701800.0,145.8490365600586,142.4120092010498,145.62224617004395,100.0,44.0,56.0,-325947300.0,-495840295.0,68712408.0,151.2353135843727,145.73314619444267,141.28618898888274,136.83923178332284,130.50797067710195,160.12922799549253,122.44314998227297,True,False,True,305,True,305,AAPL
2023-03-23,156.86029458739586,159.54656410725272,155.72454710395584,156.95904541015625,67622100.0,146.4099786376953,142.55610206604004,145.6886944580078,96.0,40.0,56.0,-258325200.0,-480106020.0,68786926.0,151.2353135843727,145.73314619444267,141.28618898888274,136.83923178332284,130.50797067710195,160.12922799549253,122.44314998227297,False,False,True,305,True,305,AAPL
2023-03-24,156.88988831142535,158.35152977877317,155.89241931505222,158.2626495361328,59196500.0,146.94256072998047,142.60553092956542,145.74902801513673,92.0,36.0,56.0,-199128700.0,-458638440.0,68581678.0,151.2353135843727,145.73314619444267,141.28618898888274,136.83923178332284,130.50797067710195,160.12922799549253,122.44314998227297,False,False,False,305,True,305,AAPL
2023-03-27,157.9565254779494,158.77623413977568,155.91218910395636,156.31710815429688,52390300.0,147.43780944824218,142.65913124084472,145.80332023620605,88.0,32.0,56.0,-251519000.0,-442040300.0,68201892.0,151.2353135843727,145.73314619444267,141.28618898888274,136.83923178332284,130.50797067710195,160.12922799549253,122.44314998227297,False,False,False,305,True,305,AAPL
2023-03-15,149.31503194180715,151.34948260848185,148.06077752387876,151.09271240234375,77167900.0,142.8840689086914,141.95852821350098,145.40017349243163,28.0,64.0,-36.0,-375041700.0,-563386775.0,69559450.0,151.2353135843727,145.73314619444267,141.28618898888274,136.83923178332284,130.50797067710195,160.12922799549253,122.44314998227297,False,False,True,305,True,305,AAPL
2023-03-16,150.27299535550645,154.5196720318581,149.7594399024329,153.917236328125,76161100.0,143.4958009338379,142.08608360290526,145.43420852661131,100.0,60.0,40.0,-298880600.0,-554018955.0,68840322.0,151.2353135843727,145.73314619444267,141.28618898888274,136.83923178332284,130.50797067710195,160.12922799549253,122.44314998227297,False,False,True,305,True,305,AAPL
2023-03-17,154.1443976469308,154.79621636647911,152.36671707978053,153.07778930664062,98944600.0,144.0653025817871,142.16704750061035,145.46797874450684,100.0,56.0,44.0,-397825200.0,-546189970.0,69036942.0,151.2353135843727,145.73314619444267,141.28618898888274,136.83923178332284,130.50797067710195,160.12922799549253,122.44314998227297,False,False,True,305,True,305,AAPL
2023-03-20,153.14693686632677,155.86283327756414,152.23833280571804,155.44802856445312,73641400.0,144.70863647460936,142.25025245666504,145.51423919677734,100.0,52.0,48.0,-324183800.0,-531721710.0,68890516.0,151.2353135843727,145.73314619444267,141.28618898888274,136.83923178332284,130.50797067710195,160.12922799549253,122.44314998227297,False,False,True,305,True,305,AAPL
2023-03-21,155.36901795458434,157.42320976774403,154.59867718770118,157.30470275878906,73938300.0,145.29838317871094,142.3235733795166,145.55749404907226,100.0,48.0,52.0,-250245500.0,-510613175.0,68614188.0,151.2353135843727,145.73314619444267,141.28618898888274,136.83923178332284,130.50797067710195,160.12922799549253,122.44314998227297,False,False,True,305,True,305,AAPL
2023-03-22,157.32445173541882,160.12922799549253,155.85292447362312,155.8726806640625,75701800.0,145.8490365600586,142.4120092010498,145.62224617004395,100.0,44.0,56.0,-325947300.0,-495840295.0,68712408.0,151.2353135843727,145.73314619444267,141.28618898888274,136.83923178332284,130.50797067710195,160.12922799549253,122.44314998227297,True,False,True,305,True,305,AAPL
2023-03-23,156.86029458739586,159.54656410725272,155.72454710395584,156.95904541015625,67622100.0,146.4099786376953,142.55610206604004,145.6886944580078,96.0,40.0,56.0,-258325200.0,-480106020.0,68786926.0,151.2353135843727,145.73314619444267,141.28618898888274,136.83923178332284,130.50797067710195,160.12922799549253,122.44314998227297,False,False,True,305,True,305,AAPL
2023-03-24,156.88988831142535,158.35152977877317,155.89241931505222,158.2626495361328,59196500.0,146.94256072998047,142.60553092956542,145.74902801513673,92.0,36.0,56.0,-199128700.0,-458638440.0,68581678.0,151.2353135843727,145.73314619444267,141.28618898888274,136.83923178332284,130.50797067710195,160.12922799549253,122.44314998227297,False,False,False,305,True,305,AAPL
2023-03-27,157.9565254779494,158.77623413977568,155.91218910395636,156.31710815429688,52390300.0,147.43780944824218,142.65913124084472,145.80332023620605,88.0,32.0,56.0,-251519000.0,-442040300.0,68201892.0,151.2353135843727,145.73314619444267,141.28618898888274,136.83923178332284,130.50797067710195,160.12922799549253,122.44314998227297,False,False,False,305,True,305,AAPL
2023-03-28,156.0109545619661,156.5245100617194,154.04562789125012,155.69491577148438,45992200.0,147.89398986816406,142.73299140930175,145.88065185546876,84.0,28.0,56.0,-297511200.0,-425214420.0,67965542.0,151.2353135843727,145.73314619444267,141.28618898888274,136.83923178332284,130.50797067710195,160.12922799549253,122.44314998227297,False,False,False,305,True,305,AAPL
2023-03-15,149.31503194180715,151.34948260848185,148.06077752387876,151.09271240234375,77167900.0,142.8840689086914,141.95852821350098,145.40017349243163,28.0,64.0,-36.0,-375041700.0,-563386775.0,69559450.0,151.2353135843727,145.73314619444267,141.28618898888274,136.83923178332284,130.50797067710195,160.12922799549253,122.44314998227297,False,False,True,305,True,305,AAPL
2023-03-16,150.27299535550645,154.5196720318581,149.7594399024329,153.917236328125,76161100.0,143.4958009338379,142.08608360290526,145.43420852661131,100.0,60.0,40.0,-298880600.0,-554018955.0,68840322.0,151.2353135843727,145.73314619444267,141.28618898888274,136.83923178332284,130.50797067710195,160.12922799549253,122.44314998227297,False,False,True,305,True,305,AAPL
2023-03-17,154.1443976469308,154.79621636647911,152.36671707978053,153.07778930664062,98944600.0,144.0653025817871,142.16704750061035,145.46797874450684,100.0,56.0,44.0,-397825200.0,-546189970.0,69036942.0,151.2353135843727,145.73314619444267,141.28618898888274,136.83923178332284,130.50797067710195,160.12922799549253,122.44314998227297,False,False,True,305,True,305,AAPL
2023-03-20,153.14693686632677,155.86283327756414,152.23833280571804,155.44802856445312,73641400.0,144.70863647460936,142.25025245666504,145.51423919677734,100.0,52.0,48.0,-324183800.0,-531721710.0,68890516.0,151.2353135843727,145.73314619444267,141.28618898888274,136.83923178332284,130.50797067710195,160.12922799549253,122.44314998227297,False,False,True,305,True,305,AAPL
2023-03-21,155.36901795458434,157.42320976774403,154.59867718770118,157.30470275878906,73938300.0,145.29838317871094,142.3235733795166,145.55749404907226,100.0,48.0,52.0,-250245500.0,-510613175.0,68614188.0,151.2353135843727,145.73314619444267,141.28618898888274,136.83923178332284,130.50797067710195,160.12922799549253,122.44314998227297,False,False,True,305,True,305,AAPL
2023-03-22,157.32445173541882,160.12922799549253,155.85292447362312,155.8726806640625,75701800.0,145.8490365600586,142.4120092010498,145.62224617004395,100.0,44.0,56.0,-325947300.0,-495840295.0,68712408.0,151.2353135843727,145.73314619444267,141.28618898888274,136.83923178332284,130.50797067710195,160.12922799549253,122.44314998227297,True,False,True,305,True,305,AAPL
2023-03-23,156.86029458739586,159.54656410725272,155.72454710395584,156.95904541015625,67622100.0,146.4099786376953,142.55610206604004,145.6886944580078,96.0,40.0,56.0,-258325200.0,-480106020.0,68786926.0,151.2353135843727,145.73314619444267,141.28618898888274,136.83923178332284,130.50797067710195,160.12922799549253,122.44314998227297,False,False,True,305,True,305,AAPL
2023-03-24,156.88988831142535,158.35152977877317,155.89241931505222,158.2626495361328,59196500.0,146.94256072998047,142.60553092956542,145.74902801513673,92.0,36.0,56.0,-199128700.0,-458638440.0,68581678.0,151.2353135843727,145.73314619444267,141.28618898888274,136.83923178332284,130.50797067710195,160.12922799549253,122.44314998227297,False,False,False,305,True,305,AAPL
2023-03-27,157.9565254779494,158.77623413977568,155.91218910395636,156.31710815429688,52390300.0,147.43780944824218,142.65913124084472,145.80332023620605,88.0,32.0,56.0,-251519000.0,-442040300.0,68201892.0,151.2353135843727,145.73314619444267,141.28618898888274,136.83923178332284,130.50797067710195,160.12922799549253,122.44314998227297,False,False,False,305,True,305,AAPL
2023-03-28,156.0109545619661,156.5245100617194,154.04562789125012,155.69491577148438,45992200.0,147.89398986816406,142.73299140930175,145.88065185546876,84.0,28.0,56.0,-297511200.0,-425214420.0,67965542.0,151.2353135843727,145.73314619444267,141.28618898888274,136.83923178332284,130.50797067710195,160.12922799549253,122.44314998227297,False,False,False,305,True,305,AAPL
2023-03-15,149.31503194180715,151.34948260848185,148.06077752387876,151.09271240234375,77167900.0,142.8840689086914,141.95852821350098,145.40017349243163,28.0,64.0,-36.0,-375041700.0,-563386775.0,69559450.0,151.48432835600173,145.9345743735876,141.44915677136248,136.96373916913734,130.57772088800328,160.45516356045198,122.44314998227297,False,False,True,305,True,305,AAPL
2023-03-16,150.27299535550645,154.5196720318581,149.7594399024329,153.917236328125,76161100.0,143.4958009338379,142.08608360290526,145.43420852661131,100.0,60.0,40.0,-298880600.0,-554018955.0,68840322.0,151.48432835600173,145.9345743735876,141.44915677136248,136.96373916913734,130.57772088800328,160.45516356045198,122.44314998227297,False,False,True,305,True,305,AAPL
2023-03-17,154.1443976469308,154.79621636647911,152.36671707978053,153.07778930664062,98944600.0,144.0653025817871,142.16704750061035,145.46797874450684,100.0,56.0,44.0,-397825200.0,-546189970.0,69036942.0,151.48432835600173,145.9345743735876,141.44915677136248,136.96373916913734,130.57772088800328,160.45516356045198,122.44314998227297,False,False,True,305,True,305,AAPL
2023-03-20,153.14693686632677,155.86283327756414,152.23833280571804,155.44802856445312,73641400.0,144.70863647460936,142.25025245666504,145.51423919677734,100.0,52.0,48.0,-324183800.0,-531721710.0,68890516.0,151.48432835600173,145.9345743735876,141.44915677136248,136.96373916913734,130.57772088800328,160.45516356045198,122.44314998227297,False,False,True,305,True,305,AAPL
2023-03-21,155.36901795458434,157.42320976774403,154.59867718770118,157.30470275878906,73938300.0,145.29838317871094,142.3235733795166,145.55749404907226,100.0,48.0,52.0,-250245500.0,-510613175.0,68614188.0,151.48432835600173,145.9345743735876,141.44915677136248,136.96373916913734,130.57772088800328,160.45516356045198,122.44314998227297,False,False,True,305,True,305,AAPL
2023-03-22,157.32445173541882,160.12922799549253,155.85292447362312,155.8726806640625,75701800.0,145.8490365600586,142.4120092010498,145.62224617004395,100.0,44.0,56.0,-325947300.0,-495840295.0,68712408.0,151.48432835600173,145.9345743735876,141.44915677136248,136.96373916913734,130.57772088800328,160.45516356045198,122.44314998227297,True,False,True,305,True,305,AAPL
2023-03-23,156.86029458739586,159.54656410725272,155.72454710395584,156.95904541015625,67622100.0,146.4099786376953,142.55610206604004,145.6886944580078,96.0,40.0,56.0,-258325200.0,-480106020.0,68786926.0,151.48432835600173,145.9345743735876,141.44915677136248,136.96373916913734,130.57772088800328,160.45516356045198,122.44314998227297,False,False,True,305,True,305,AAPL
2023-03-24,156.88988831142535,158.35152977877317,155.89241931505222,158.2626495361328,59196500.0,146.94256072998047,142.60553092956542,145.74902801513673,92.0,36.0,56.0,-199128700.0,-458638440.0,68581678.0,151.48432835600173,145.9345743735876,141.44915677136248,136.96373916913734,130.57772088800328,160.45516356045198,122.44314998227297,False,False,False,305,True,305,AAPL
2023-03-27,157.9565254779494,158.77623413977568,155.91218910395636,156.31710815429688,52390300.0,147.43780944824218,142.65913124084472,145.80332023620605,88.0,32.0,56.0,-251519000.0,-442040300.0,68201892.0,151.48432835600173,145.9345743735876,141.44915677136248,136.96373916913734,130.57772088800328,160.45516356045198,122.44314998227297,False,False,False,305,True,305,AAPL
2023-03-28,156.0109545619661,156.5245100617194,154.04562789125012,155.69491577148438,45992200.0,147.89398986816406,142.73299140930175,145.88065185546876,84.0,28.0,56.0,-297511200.0,-425214420.0,67965542.0,151.48432835600173,145.9345743735876,141.44915677136248,136.96373916913734,130.57772088800328,160.45516356045198,122.44314998227297,False,False,False,305,True,305,AAPL
2023-03-15,149.31503194180715,151.34948260848185,148.06077752387876,151.09271240234375,77167900.0,142.8840689086914,141.95852821350098,145.40017349243163,28.0,64.0,-36.0,-375041700.0,-563386775.0,69559450.0,153.39325726653183,147.4787079687546,142.69845579657851,137.9182036244024,131.11242087079575,162.95376161088404,122.44314998227297,False,False,True,305,True,305,AAPL
2023-03-16,150.27299535550645,154.5196720318581,149.7594399024329,153.917236328125,76161100.0,143.4958009338379,142.08608360290526,145.43420852661131,100.0,60.0,40.0,-298880600.0,-554018955.0,68840322.0,153.39325726653183,147.4787079687546,142.69845579657851,137.9182036244024,131.11242087079575,162.95376161088404,122.44314998227297,False,False,True,305,True,305,AAPL
2023-03-17,154.1443976469308,154.79621636647911,152.36671707978053,153.07778930664062,98944600.0,144.0653025817871,142.16704750061035,145.46797874450684,100.0,56.0,44.0,-397825200.0,-546189970.0,69036942.0,153.39325726653183,147.4787079687546,142.69845579657851,137.9182036244024,131.11242087079575,162.95376161088404,122.44314998227297,False,False,True,305,True,305,AAPL
2023-03-20,153.14693686632677,155.86283327756414,152.23833280571804,155.44802856445312,73641400.0,144.70863647460936,142.25025245666504,145.51423919677734,100.0,52.0,48.0,-324183800.0,-531721710.0,68890516.0,153.39325726653183,147.4787079687546,142.69845579657851,137.9182036244024,131.11242087079575,162.95376161088404,122.44314998227297,False,False,True,305,True,305,AAPL
2023-03-21,155.36901795458434,157.42320976774403,154.59867718770118,157.30470275878906,73938300.0,145.29838317871094,142.3235733795166,145.55749404907226,100.0,48.0,52.0,-250245500.0,-510613175.0,68614188.0,153.39325726653183,147.4787079687546,142.69845579657851,137.9182036244024,131.11242087079575,162.95376161088404,122.44314998227297,False,False,True,305,True,305,AAPL
2023-03-22,157.32445173541882,160.12922799549253,155.85292447362312,155.8726806640625,75701800.0,145.8490365600586,142.4120092010498,145.62224617004395,100.0,44.0,56.0,-325947300.0,-495840295.0,68712408.0,153.39325726653183,147.4787079687546,142.69845579657851,137.9182036244024,131.11242087079575,162.95376161088404,122.44314998227297,True,False,True,305,True,305,AAPL
2023-03-23,156.86029458739586,159.54656410725272,155.72454710395584,156.95904541015625,67622100.0,146.4099786376953,142.55610206604004,145.6886944580078,96.0,40.0,56.0,-258325200.0,-480106020.0,68786926.0,153.39325726653183,147.4787079687546,142.69845579657851,137.9182036244024,131.11242087079575,162.95376161088404,122.44314998227297,False,False,True,305,True,305,AAPL
2023-03-24,156.88988831142535,158.35152977877317,155.89241931505222,158.2626495361328,59196500.0,146.94256072998047,142.60553092956542,145.74902801513673,92.0,36.0,56.0,-199128700.0,-458638440.0,68581678.0,153.39325726653183,147.4787079687546,142.69845579657851,137.9182036244024,131.11242087079575,162.95376161088404,122.44314998227297,False,False,False,305,True,305,AAPL
2023-03-27,157.9565254779494,158.77623413977568,155.91218910395636,156.31710815429688,52390300.0,147.43780944824218,142.65913124084472,145.80332023620605,88.0,32.0,56.0,-251519000.0,-442040300.0,68201892.0,153.39325726653183,147.4787079687546,142.69845579657851,137.9182036244024,131.11242087079575,162.95376161088404,122.44314998227297,False,False,False,305,True,305,AAPL
2023-03-28,156.0109545619661,156.5245100617194,154.04562789125012,155.69491577148438,45992200.0,147.89398986816406,142.73299140930175,145.88065185546876,84.0,28.0,56.0,-297511200.0,-425214420.0,67965542.0,153.39325726653183,147.4787079687546,142.69845579657851,137.9182036244024,131.11242087079575,162.95376161088404,122.44314998227297,False,False,False,305,True,305,AAPL
2023-03-15,149.31503194180715,151.34948260848185,148.06077752387876,151.09271240234375,77167900.0,142.8840689086914,141.95852821350098,145.40017349243163,28.0,64.0,-36.0,-375041700.0,-563386775.0,69559450.0,154.36658032085577,148.26602949699046,143.33544732427742,138.40486515156437,131.38505324465086,164.22774466628186,122.44314998227297,False,False,True,305,True,305,AAPL
2023-03-16,150.27299535550645,154.5196720318581,149.7594399024329,153.917236328125,76161100.0,143.4958009338379,142.08608360290526,145.43420852661131,100.0,60.0,40.0,-298880600.0,-554018955.0,68840322.0,154.36658032085577,148.26602949699046,143.33544732427742,138.40486515156437,131.38505324465086,164.22774466628186,122.44314998227297,False,False,True,305,True,305,AAPL
2023-03-17,154.1443976469308,154.79621636647911,152.36671707978053,153.07778930664062,98944600.0,144.0653025817871,142.16704750061035,145.46797874450684,100.0,56.0,44.0,-397825200.0,-546189970.0,69036942.0,154.36658032085577,148.26602949699046,143.33544732427742,138.40486515156437,131.38505324465086,164.22774466628186,122.44314998227297,False,False,True,305,True,305,AAPL
2023-03-20,153.14693686632677,155.86283327756414,152.23833280571804,155.44802856445312,73641400.0,144.70863647460936,142.25025245666504,145.51423919677734,100.0,52.0,48.0,-324183800.0,-531721710.0,68890516.0,154.36658032085577,148.26602949699046,143.33544732427742,138.40486515156437,131.38505324465086,164.22774466628186,122.44314998227297,False,False,True,305,True,305,AAPL
2023-03-21,155.36901795458434,157.42320976774403,154.59867718770118,157.30470275878906,73938300.0,145.29838317871094,142.3235733795166,145.55749404907226,100.0,48.0,52.0,-250245500.0,-510613175.0,68614188.0,154.36658032085577,148.26602949699046,143.33544732427742,138.40486515156437,131.38505324465086,164.22774466628186,122.44314998227297,False,False,True,305,True,305,AAPL
2023-03-22,157.32445173541882,160.12922799549253,155.85292447362312,155.8726806640625,75701800.0,145.8490365600586,142.4120092010498,145.62224617004395,100.0,44.0,56.0,-325947300.0,-495840295.0,68712408.0,154.36658032085577,148.26602949699046,143.33544732427742,138.40486515156437,131.38505324465086,164.22774466628186,122.44314998227297,True,False,True,305,True,305,AAPL
2023-03-23,156.86029458739586,159.54656410725272,155.72454710395584,156.95904541015625,67622100.0,146.4099786376953,142.55610206604004,145.6886944580078,96.0,40.0,56.0,-258325200.0,-480106020.0,68786926.0,154.36658032085577,148.26602949699046,143.33544732427742,138.40486515156437,131.38505324465086,164.22774466628186,122.44314998227297,False,False,True,305,True,305,AAPL
2023-03-24,156.88988831142535,158.35152977877317,155.89241931505222,158.2626495361328,59196500.0,146.94256072998047,142.60553092956542,145.74902801513673,92.0,36.0,56.0,-199128700.0,-458638440.0,68581678.0,154.36658032085577,148.26602949699046,143.33544732427742,138.40486515156437,131.38505324465086,164.22774466628186,122.44314998227297,False,False,False,305,True,305,AAPL
